user_id,start_timestamp,start_date,start_hour,start_day_of_week,city,state,device,age,age_group,income,income_bracket,acquisition_source,completed,dropped_at_step,dropped_at_step_number,step_label,total_time_seconds
USR000001,2026-05-01T19:47:24,2026-05-01,19,Friday,Pune,Maharashtra,desktop,39,35-39,52491,Upper-Middle,social_media,0,step_3_personal_details,3,Personal Details,1647
USR000002,2026-06-10T15:08:26,2026-06-10,15,Wednesday,Delhi,Delhi,mobile_android,29,25-29,41965,Middle,social_media,1,completed,9,Completed,1014
USR000003,2026-01-25T15:32:56,2026-01-25,15,Sunday,Ahmedabad,Gujarat,mobile_android,32,30-34,65808,Upper-Middle,social_media,1,completed,9,Completed,1243
USR000004,2026-05-24T06:02:22,2026-05-24,6,Sunday,Pune,Maharashtra,mobile_android,28,25-29,58319,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,145
USR000005,2026-05-12T23:49:53,2026-05-12,23,Tuesday,Chennai,Tamil Nadu,desktop,35,35-39,44597,Middle,social_media,0,step_3_personal_details,3,Personal Details,1447
USR000006,2026-06-07T02:19:04,2026-06-07,2,Sunday,Bengaluru,Karnataka,mobile_ios,22,21-24,45150,Middle,organic_search,0,step_4_pan_upload,4,PAN Upload,365
USR000007,2026-06-08T12:00:25,2026-06-08,12,Monday,Bengaluru,Karnataka,mobile_android,30,30-34,85171,High,organic_search,1,completed,9,Completed,95
USR000008,2026-01-23T23:04:04,2026-01-23,23,Friday,Pune,Maharashtra,mobile_android,30,30-34,52193,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,1394
USR000009,2026-03-21T13:17:29,2026-03-21,13,Saturday,Chennai,Tamil Nadu,mobile_android,21,21-24,66851,Upper-Middle,paid_ads,0,step_3_personal_details,3,Personal Details,368
USR000010,2026-03-29T01:52:17,2026-03-29,1,Sunday,Delhi,Delhi,mobile_ios,37,35-39,52188,Upper-Middle,organic_search,0,step_2_otp_verification,2,OTP Verification,647
USR000011,2026-05-24T15:06:35,2026-05-24,15,Sunday,Bengaluru,Karnataka,mobile_ios,36,35-39,65157,Upper-Middle,organic_search,1,completed,9,Completed,1266
USR000012,2026-03-25T09:13:33,2026-03-25,9,Wednesday,Hyderabad,Telangana,mobile_android,30,30-34,45636,Middle,paid_ads,1,completed,9,Completed,691
USR000013,2026-04-08T21:52:30,2026-04-08,21,Wednesday,Bengaluru,Karnataka,mobile_ios,21,21-24,42445,Middle,paid_ads,1,completed,9,Completed,1530
USR000014,2026-02-12T22:32:51,2026-02-12,22,Thursday,Mumbai,Maharashtra,desktop,29,25-29,38752,Middle,organic_search,1,completed,9,Completed,1446
USR000015,2026-01-28T22:55:45,2026-01-28,22,Wednesday,Chennai,Tamil Nadu,desktop,24,21-24,63839,Upper-Middle,social_media,0,step_6_income_details,6,Income Details,515
USR000016,2026-04-20T16:07:42,2026-04-20,16,Monday,Bengaluru,Karnataka,mobile_android,27,25-29,97581,High,referral,1,completed,9,Completed,83
USR000017,2026-02-16T01:03:16,2026-02-16,1,Monday,Bengaluru,Karnataka,mobile_android,42,40-44,15000,Low,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1297
USR000018,2026-03-26T11:11:29,2026-03-26,11,Thursday,Hyderabad,Telangana,mobile_android,21,21-24,65201,Upper-Middle,paid_ads,1,completed,9,Completed,1005
USR000019,2026-06-11T12:21:58,2026-06-11,12,Thursday,Ahmedabad,Gujarat,mobile_android,26,25-29,31346,Middle,social_media,0,step_2_otp_verification,2,OTP Verification,899
USR000020,2026-03-12T10:53:09,2026-03-12,10,Thursday,Hyderabad,Telangana,mobile_android,21,21-24,70818,Upper-Middle,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1692
USR000021,2026-01-13T22:29:45,2026-01-13,22,Tuesday,Ahmedabad,Gujarat,mobile_android,29,25-29,33437,Middle,social_media,1,completed,9,Completed,790
USR000022,2026-05-10T04:14:46,2026-05-10,4,Sunday,Delhi,Delhi,mobile_android,43,40-44,42346,Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,1391
USR000023,2026-06-20T15:43:59,2026-06-20,15,Saturday,Chennai,Tamil Nadu,mobile_android,47,45+,73478,Upper-Middle,referral,0,step_4_pan_upload,4,PAN Upload,122
USR000024,2026-01-10T17:21:39,2026-01-10,17,Saturday,Bengaluru,Karnataka,tablet,34,30-34,79778,Upper-Middle,organic_search,1,completed,9,Completed,326
USR000025,2026-05-31T21:15:54,2026-05-31,21,Sunday,Kolkata,West Bengal,mobile_android,36,35-39,54481,Upper-Middle,organic_search,1,completed,9,Completed,1193
USR000026,2026-05-27T18:47:49,2026-05-27,18,Wednesday,Pune,Maharashtra,mobile_android,33,30-34,63555,Upper-Middle,paid_ads,1,completed,9,Completed,1617
USR000027,2026-04-20T00:49:56,2026-04-20,0,Monday,Pune,Maharashtra,desktop,30,30-34,70900,Upper-Middle,paid_ads,1,completed,9,Completed,1360
USR000028,2026-01-04T16:36:26,2026-01-04,16,Sunday,Ahmedabad,Gujarat,mobile_android,35,35-39,44006,Middle,paid_ads,1,completed,9,Completed,679
USR000029,2026-02-13T14:21:45,2026-02-13,14,Friday,Mumbai,Maharashtra,desktop,41,40-44,108877,High,referral,1,completed,9,Completed,972
USR000030,2026-02-25T00:14:11,2026-02-25,0,Wednesday,Bengaluru,Karnataka,mobile_android,30,30-34,79339,Upper-Middle,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1271
USR000031,2026-06-17T12:23:49,2026-06-17,12,Wednesday,Delhi,Delhi,mobile_android,26,25-29,40257,Middle,social_media,1,completed,9,Completed,1547
USR000032,2026-05-19T19:38:19,2026-05-19,19,Tuesday,Bengaluru,Karnataka,desktop,24,21-24,85387,High,paid_ads,0,step_1_mobile_entry,1,Mobile Entry,1720
USR000033,2026-05-03T16:04:16,2026-05-03,16,Sunday,Bengaluru,Karnataka,mobile_android,38,35-39,63751,Upper-Middle,social_media,0,step_2_otp_verification,2,OTP Verification,119
USR000034,2026-01-16T03:29:36,2026-01-16,3,Friday,Ahmedabad,Gujarat,mobile_android,21,21-24,15000,Low,social_media,0,step_2_otp_verification,2,OTP Verification,209
USR000035,2026-04-26T05:15:30,2026-04-26,5,Sunday,Hyderabad,Telangana,mobile_android,27,25-29,72976,Upper-Middle,paid_ads,1,completed,9,Completed,656
USR000036,2026-01-26T01:06:21,2026-01-26,1,Monday,Mumbai,Maharashtra,mobile_android,42,40-44,75581,Upper-Middle,organic_search,1,completed,9,Completed,246
USR000037,2026-02-09T20:33:16,2026-02-09,20,Monday,Pune,Maharashtra,tablet,33,30-34,96736,High,social_media,0,step_2_otp_verification,2,OTP Verification,1659
USR000038,2026-04-07T07:41:19,2026-04-07,7,Tuesday,Delhi,Delhi,mobile_android,36,35-39,92310,High,paid_ads,0,step_8_final_submit,8,Final Submit,208
USR000039,2026-05-29T18:31:25,2026-05-29,18,Friday,Mumbai,Maharashtra,mobile_android,27,25-29,68398,Upper-Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,1369
USR000040,2026-02-24T05:37:33,2026-02-24,5,Tuesday,Delhi,Delhi,mobile_android,30,30-34,69812,Upper-Middle,organic_search,1,completed,9,Completed,288
USR000041,2026-06-26T12:41:16,2026-06-26,12,Friday,Ahmedabad,Gujarat,mobile_android,26,25-29,36792,Middle,organic_search,0,step_7_loan_preferences,7,Loan Preferences,1101
USR000042,2026-03-18T08:38:13,2026-03-18,8,Wednesday,Mumbai,Maharashtra,mobile_android,39,35-39,29626,Middle,social_media,1,completed,9,Completed,951
USR000043,2026-03-31T11:10:33,2026-03-31,11,Tuesday,Bengaluru,Karnataka,mobile_android,49,45+,58576,Upper-Middle,organic_search,1,completed,9,Completed,392
USR000044,2026-03-22T05:07:03,2026-03-22,5,Sunday,Delhi,Delhi,mobile_android,41,40-44,35798,Middle,referral,0,step_2_otp_verification,2,OTP Verification,1035
