user_id,start_timestamp,start_date,start_hour,start_day_of_week,city,state,device,age,age_group,income,income_bracket,acquisition_source,completed,dropped_at_step,dropped_at_step_number,step_label,total_time_seconds
USR000001,2026-02-11T14:55:53,11-02-2026,14,Wednesday,Mumbai,Maharashtra,desktop,43,40-44,76138,Upper-Middle,paid_ads,1,completed,9,Completed,429
USR000002,2026-04-05T15:17:49,05-04-2026,15,Sunday,Pune,Maharashtra,mobile_android,38,35-39,46639,Middle,social_media,0,step_2_otp_verification,2,OTP Verification,1705
USR000003,2026-06-11T23:10:18,11-06-2026,23,Thursday,Kolkata,West Bengal,mobile_android,40,40-44,46797,Middle,paid_ads,1,completed,9,Completed,1119
USR000004,2026-03-19T08:20:35,19-03-2026,8,Thursday,Pune,Maharashtra,mobile_android,35,35-39,94123,High,organic_search,1,completed,9,Completed,864
USR000005,2026-03-15T06:25:33,15-03-2026,6,Sunday,Mumbai,Maharashtra,mobile_android,41,40-44,100747,High,referral,1,completed,9,Completed,85
USR000006,2026-05-29T03:59:55,29-05-2026,3,Friday,Chennai,Tamil Nadu,mobile_android,30,30-34,68728,Upper-Middle,referral,0,step_4_pan_upload,4,PAN Upload,1296
USR000007,2026-03-07T11:41:02,07-03-2026,11,Saturday,Mumbai,Maharashtra,mobile_ios,34,30-34,114244,High,organic_search,1,completed,9,Completed,1500
USR000008,2026-02-25T23:06:27,25-02-2026,23,Wednesday,Chennai,Tamil Nadu,mobile_ios,26,25-29,64594,Upper-Middle,social_media,0,step_2_otp_verification,2,OTP Verification,396
USR000009,2026-03-17T05:25:01,17-03-2026,5,Tuesday,Mumbai,Maharashtra,desktop,28,25-29,33391,Middle,organic_search,1,completed,9,Completed,976
USR000010,2026-01-09T01:19:38,09-01-2026,1,Friday,Bengaluru,Karnataka,mobile_android,21,21-24,89962,High,paid_ads,1,completed,9,Completed,1340
USR000011,2026-06-14T05:36:52,14-06-2026,5,Sunday,Bengaluru,Karnataka,desktop,42,40-44,36935,Middle,organic_search,0,step_2_otp_verification,2,OTP Verification,344
USR000012,2026-02-13T06:35:38,13-02-2026,6,Friday,Pune,Maharashtra,mobile_android,32,30-34,67845,Upper-Middle,referral,0,step_6_income_details,6,Income Details,556
USR000013,2026-06-20T11:47:41,20-06-2026,11,Saturday,Delhi,Delhi,mobile_ios,34,30-34,47773,Middle,organic_search,1,completed,9,Completed,594
USR000014,2026-01-16T22:17:20,16-01-2026,22,Friday,Kolkata,West Bengal,mobile_ios,24,21-24,23782,Low,referral,0,step_2_otp_verification,2,OTP Verification,1320
USR000015,2026-02-10T20:03:26,10-02-2026,20,Tuesday,Pune,Maharashtra,desktop,41,40-44,52114,Upper-Middle,paid_ads,1,completed,9,Completed,852
USR000016,2026-06-04T13:05:19,04-06-2026,13,Thursday,Delhi,Delhi,mobile_android,40,40-44,53372,Upper-Middle,referral,1,completed,9,Completed,1528
USR000017,2026-04-20T14:06:29,20-04-2026,14,Monday,Delhi,Delhi,desktop,28,25-29,35659,Middle,email,1,completed,9,Completed,1057
USR000018,2026-03-14T03:42:22,14-03-2026,3,Saturday,Chennai,Tamil Nadu,mobile_ios,39,35-39,58868,Upper-Middle,referral,0,step_3_personal_details,3,Personal Details,1262
